PO_Number,SKU,Product_Name,Supplier,Supplier_Country,Destination_Store,Order_Date,Promised_Date,Actual_Receipt_Date,Status,Days_Late,Units,Unit_Cost,Line_Cost
PO-4400,GT-CHN-07,Slim Chino,Mekong Textile Co.,Vietnam,Boise,2026-02-11,2026-04-12,2026-04-20,Received,8,400,26,10400
PO-4401,GT-JKT-08,Recycled Denim Jacket,Andes Knitworks,Colombia,Spokane,2025-12-16,2026-01-15,2026-01-15,Received,0,600,46,27600
PO-4402,GT-JOG-03,Bamboo Joggers,Song Hong Apparel,Vietnam,Portland-Division,2026-05-20,2026-07-24,,In transit,,600,30,18000
PO-4403,GT-JOG-03,Bamboo Joggers,Song Hong Apparel,Vietnam,Tacoma,2026-01-05,2026-03-11,2026-03-24,Received,13,200,30,6000
PO-4404,GT-TNK-06,Organic Tank Top,Delta Organics,India,Eugene,2026-06-13,2026-07-28,,In transit,,250,11,2750
PO-4405,GT-POL-05,Performance Polo,Delta Organics,India,Tacoma,2026-03-21,2026-05-05,2026-05-05,Received,0,150,19.5,2925
PO-4406,GT-POL-05,Performance Polo,Delta Organics,India,Spokane,2026-04-18,2026-06-02,2026-06-02,Received,0,500,19.5,9750
PO-4407,GT-JOG-03,Bamboo Joggers,Song Hong Apparel,Vietnam,Seattle-Cap Hill,2026-03-30,2026-06-03,2026-06-14,Received,11,250,30,7500
PO-4408,GT-JKT-08,Recycled Denim Jacket,Andes Knitworks,Colombia,Austin-South Congress,2026-03-28,2026-04-27,2026-04-28,Received,1,500,46,23000
PO-4409,GT-SHT-02,Active Shorts,Mekong Textile Co.,Vietnam,Tacoma,2026-05-27,2026-07-26,,In transit,,500,22,11000
PO-4410,GT-JOG-03,Bamboo Joggers,Song Hong Apparel,Vietnam,Salt Lake City,2026-02-06,2026-04-12,2026-04-25,Received,13,250,30,7500
PO-4411,GT-TNK-06,Organic Tank Top,Delta Organics,India,Spokane,2025-12-26,2026-02-09,2026-02-10,Received,1,600,11,6600
PO-4412,GT-SHT-02,Active Shorts,Mekong Textile Co.,Vietnam,Bend,2026-03-20,2026-05-19,2026-05-31,Received,12,400,22,8800
PO-4413,GT-POL-05,Performance Polo,Delta Organics,India,Boulder,2026-05-23,2026-07-07,2026-07-07,Received,0,400,19.5,7800
PO-4414,GT-JOG-03,Bamboo Joggers,Song Hong Apparel,Vietnam,Boise,2026-02-10,2026-04-16,2026-04-27,Received,11,150,30,4500
PO-4415,GT-SHT-02,Active Shorts,Mekong Textile Co.,Vietnam,Boulder,2026-04-10,2026-06-09,2026-06-15,Received,6,300,22,6600
PO-4416,GT-CHN-07,Slim Chino,Mekong Textile Co.,Vietnam,Tacoma,2026-04-06,2026-06-05,2026-06-10,Received,5,250,26,6500
PO-4417,GT-JOG-03,Bamboo Joggers,Song Hong Apparel,Vietnam,Seattle-Ballard,2025-12-16,2026-02-19,2026-02-26,Received,7,200,30,6000
PO-4418,GT-JOG-03,Bamboo Joggers,Song Hong Apparel,Vietnam,Seattle-Cap Hill,2026-01-07,2026-03-13,2026-04-01,Received,19,600,30,18000
PO-4419,GT-JOG-03,Bamboo Joggers,Song Hong Apparel,Vietnam,Bend,2026-06-14,2026-08-18,,In transit,,250,30,7500
PO-4420,GT-HOD-04,EcoFleece Hoodie,Andes Knitworks,Colombia,Boulder,2026-03-21,2026-04-20,2026-04-20,Received,0,400,38,15200
PO-4421,GT-CHN-07,Slim Chino,Mekong Textile Co.,Vietnam,Seattle-Cap Hill,2026-06-05,2026-08-04,,In transit,,400,26,10400
PO-4422,GT-SHT-02,Active Shorts,Mekong Textile Co.,Vietnam,Boise,2026-04-30,2026-06-29,2026-07-04,Received,5,400,22,8800
PO-4423,GT-HOD-04,EcoFleece Hoodie,Andes Knitworks,Colombia,Boulder,2025-12-27,2026-01-26,2026-01-26,Received,0,250,38,9500
PO-4424,GT-JKT-08,Recycled Denim Jacket,Andes Knitworks,Colombia,Spokane,2026-02-12,2026-03-14,2026-03-15,Received,1,200,46,9200
PO-4425,GT-CHN-07,Slim Chino,Mekong Textile Co.,Vietnam,Bend,2026-01-13,2026-03-14,2026-03-20,Received,6,200,26,5200
PO-4426,GT-HOD-04,EcoFleece Hoodie,Andes Knitworks,Colombia,Spokane,2026-04-30,2026-05-30,2026-05-31,Received,1,150,38,5700
PO-4427,GT-HOD-04,EcoFleece Hoodie,Andes Knitworks,Colombia,Seattle-Cap Hill,2026-03-10,2026-04-09,2026-04-10,Received,1,200,38,7600
PO-4428,GT-HOD-04,EcoFleece Hoodie,Andes Knitworks,Colombia,Tacoma,2026-02-28,2026-03-30,2026-03-31,Received,1,250,38,9500
PO-4429,GT-POL-05,Performance Polo,Delta Organics,India,Portland-Pearl,2026-05-28,2026-07-12,2026-07-14,Received,2,400,19.5,7800
PO-4430,GT-JKT-08,Recycled Denim Jacket,Andes Knitworks,Colombia,Seattle-Cap Hill,2026-01-10,2026-02-09,2026-02-09,Received,0,300,46,13800
PO-4431,GT-TEE-01,Classic Tee,Delta Organics,India,Boise,2026-05-19,2026-07-03,2026-07-04,Received,1,500,14.25,7125
PO-4432,GT-JOG-03,Bamboo Joggers,Song Hong Apparel,Vietnam,Portland-Division,2026-03-06,2026-05-10,2026-05-27,Received,17,500,30,15000
